year,week,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,region,region name
1981,35.0,0.255,287.58,4.23,91.31,47.77,0.0,0.0,0.07,0.16,0.63,2.27,4.84,7.38,9.49,10.64,54.86,5.07,2.57,1.25,0.46,0.26,0.03,0.0,0.0,0.0,0.0,24,Chernigiv
1981,36.0,0.264,288.32,10.11,78.76,44.43,0.03,0.07,0.13,1.22,2.5,6.23,10.28,11.7,14.83,13.11,26.52,6.79,4.12,1.58,0.59,0.2,0.0,0.07,0.03,0.0,0.0,24,Chernigiv
1981,37.0,0.268,288.56,18.23,62.33,40.28,0.07,0.23,0.76,2.87,6.26,10.77,13.48,15.52,15.09,11.57,12.22,5.7,2.97,1.78,0.43,0.2,0.03,0.03,0.0,0.03,0.0,24,Chernigiv
1981,38.0,0.272,288.41,29.04,46.7,37.87,0.2,0.56,1.71,4.81,9.03,11.99,14.86,15.02,13.41,10.91,8.3,3.99,2.97,1.22,0.63,0.23,0.1,0.03,0.03,0.0,0.0,24,Chernigiv
1981,39.0,0.271,287.54,38.87,35.38,37.12,0.26,0.92,2.6,5.04,9.52,11.73,15.02,13.94,14.33,10.54,7.02,4.58,2.6,1.05,0.43,0.16,0.16,0.07,0.0,0.0,0.0,24,Chernigiv
1981,40.0,0.265,285.92,47.51,30.67,39.09,0.1,0.46,1.71,4.09,7.48,10.38,14.53,15.09,14.66,12.39,8.01,5.37,3.16,1.75,0.33,0.23,0.2,0.07,0.0,0.0,0.0,24,Chernigiv
1981,41.0,0.254,283.26,54.4,37.83,46.12,0.07,0.1,0.13,0.76,2.6,5.6,9.23,12.65,15.29,17.66,13.81,9.03,6.36,3.82,1.65,0.82,0.33,0.1,0.0,0.0,0.0,24,Chernigiv
1981,42.0,0.23399999999999999,280.0,57.84,52.78,55.31,0.0,0.0,0.07,0.2,0.26,1.19,2.64,5.83,10.38,14.07,15.68,16.11,11.73,9.49,6.16,3.82,1.45,0.76,0.16,0.0,0.0,24,Chernigiv
1981,43.0,0.20600000000000002,276.86,57.33,58.42,57.87,0.0,0.0,0.03,0.1,0.16,0.82,1.65,4.09,7.84,12.09,15.16,15.32,14.14,11.7,8.83,4.65,2.01,1.02,0.3,0.1,0.0,24,Chernigiv
1981,44.0,0.172,273.21,51.94,61.99,56.96,0.0,0.0,0.0,0.03,0.2,0.82,1.78,4.68,9.49,12.39,14.93,14.96,14.7,12.13,6.92,3.89,1.91,0.86,0.23,0.1,0.0,24,Chernigiv
1981,45.0,0.139,269.84,45.2,62.64,53.92,0.0,0.0,0.0,0.0,0.2,1.22,3.39,7.84,11.07,14.7,15.78,15.39,13.15,8.14,4.61,2.31,1.35,0.63,0.16,0.03,0.03,24,Chernigiv
1981,46.0,0.111,266.78,37.55,59.56,48.56,0.0,0.0,0.0,0.1,1.32,5.17,8.76,11.33,15.39,14.4,13.61,10.71,8.2,5.34,3.13,1.52,0.76,0.13,0.13,0.0,0.0,24,Chernigiv
1981,47.0,0.092,263.81,32.88,59.28,46.08,0.0,0.0,0.1,0.72,3.06,7.51,10.41,13.77,14.93,12.75,10.44,9.79,7.81,4.22,2.87,0.89,0.66,0.03,0.03,0.0,0.0,24,Chernigiv
1981,48.0,0.078,261.53,29.57,58.97,44.27,0.0,0.07,0.2,1.22,4.71,8.63,12.69,13.9,13.94,11.04,10.31,8.5,7.22,4.78,1.81,0.66,0.23,0.1,0.0,0.0,0.0,24,Chernigiv
1981,49.0,0.069,259.7,27.78,59.06,43.42,0.0,0.03,0.1,1.32,5.17,10.48,13.41,13.87,12.29,11.0,10.18,9.72,6.85,3.53,1.45,0.36,0.16,0.07,0.0,0.0,0.0,24,Chernigiv
1981,50.0,0.066,258.08,31.12,60.89,46.01,0.0,0.0,0.03,0.3,2.14,8.11,12.22,13.21,13.94,11.93,11.76,10.74,7.81,4.71,2.08,0.86,0.07,0.1,0.0,0.0,0.0,24,Chernigiv
